SNP	Chr	Pos
ipSNP127	1	3010423
ipSNP128	1	3010424
ipSNP129	1	3010434
ipSNP130	1	3010439
ipSNP131	1	3010445
ipSNP132	1	3010447
ipSNP133	1	3010525
ipSNP134	1	3010549
ipSNP135	1	3010555
ipSNP136	1	3010586
ipSNP137	1	3027433
ipSNP139	1	3029136
ipSNP140	1	3029139
ipSNP141	1	3078487
ipSNP142	1	3079130
ipSNP143	1	3079131
ipSNP144	1	3079155
ipSNP145	1	3079292
ipSNP146	1	3079325
ipSNP147	1	3079994
ipSNP148	1	3081126
ipSNP149	1	3081440
ipSNP150	1	3081443
ipSNP152	1	3081447
ipSNP153	1	3081449
ipSNP154	1	3081458
ipSNP155	1	3131760
ipSNP156	1	3131767
ipSNP157	1	3131841
ipSNP158	1	3136329
ipSNP159	1	3136332
ipSNP160	1	3197122
ipSNP161	1	3197144
ipSNP162	1	3197156
ipSNP163	1	3197160
ipSNP164	1	3197164
ipSNP165	1	3197225
ipSNP166	1	3197312
ipSNP167	1	3197323
ipSNP168	1	3199279
ipSNP169	1	3200233
ipSNP170	1	3200270
ipSNP171	1	3200273
ipSNP172	1	3200277
ipSNP174	1	3279302
ipSNP175	1	3280221
ipSNP176	1	3280248
ipSNP177	1	3282170
ipSNP178	1	3355474
ipSNP179	1	3359677
ipSNP180	1	3364613
ipSNP181	1	3365546
ipSNP182	1	3365962
ipSNP183	1	3365984
ipSNP184	1	3405222
ipSNP185	1	3408430
ipSNP186	1	3409241
ipSNP187	1	3409255
ipSNP188	1	3409290
ipSNP189	1	3409322
ipSNP190	1	3409334
ipSNP191	1	3409335
ipSNP192	1	3439736
ipSNP193	1	3439763
ipSNP194	1	3439801
ipSNP195	1	3439807
ipSNP196	1	3468707
ipSNP198	1	3649734
ipSNP199	1	3649745
ipSNP200	1	3649756
ipSNP201	1	3650405
ipSNP202	1	3665219
ipSNP203	1	3702509
ipSNP204	1	3702520
ipSNP205	1	3703021
ipSNP206	1	3703049
ipSNP207	1	3703058
ipSNP208	1	3703088
ipSNP209	1	3703141
ipSNP210	1	3703148
ipSNP211	1	3703196
ipSNP212	1	3703225
ipSNP213	1	3703702
ipSNP214	1	3703703
ipSNP215	1	3703705
ipSNP216	1	3703712
ipSNP217	1	3703741
ipSNP218	1	3703762
ipSNP219	1	3703855
ipSNP222	1	3708753
ipSNP223	1	3708786
ipSNP224	1	3710900
ipSNP225	1	3715307
ipSNP226	1	3734685
ipSNP227	1	3735219
ipSNP228	1	3735236
ipSNP229	1	3736125
ipSNP230	1	3736135
ipSNP231	1	3736136
ipSNP232	1	3736137
ipSNP233	1	3736138
ipSNP234	1	3736140
ipSNP235	1	3739506
ipSNP236	1	3739508
ipSNP237	1	3739516
ipSNP238	1	3739552
ipSNP239	1	3739861
ipSNP240	1	3886283
ipSNP241	1	3889306
ipSNP242	1	3889317
ipSNP243	1	4018273
ipSNP244	1	4022585
ipSNP245	1	4040233
ipSNP246	1	4040251
ipSNP247	1	4041107
ipSNP248	1	4042967
ipSNP249	1	4042975
ipSNP250	1	4042979
ipSNP251	1	4053253
ipSNP252	1	4055044
ipSNP253	1	4055146
ipSNP254	1	4055150
ipSNP255	1	4055153
ipSNP256	1	4057449
ipSNP257	1	4057454
ipSNP258	1	4057519
ipSNP259	1	4057520
ipSNP260	1	4057927
ipSNP261	1	4057957
ipSNP262	1	4057959
ipSNP263	1	4163141
ipSNP264	1	4163146
ipSNP265	1	4187083
ipSNP266	1	4187089
ipSNP267	1	4187111
ipSNP268	1	4187113
ipSNP269	1	4187467
ipSNP270	1	4244389
ipSNP271	1	4246336
ipSNP272	1	4246347
ipSNP273	1	4251025
ipSNP274	1	4251035
ipSNP275	1	4290135
ipSNP276	1	4307449
ipSNP277	1	4309213
ipSNP278	1	4356991
ipSNP279	1	4358624
ipSNP280	1	4445279
ipSNP281	1	4445292
ipSNP282	1	4446759
ipSNP283	1	4451008
ipSNP284	1	4451009
ipSNP285	1	4451012
ipSNP286	1	4451013
ipSNP287	1	4451014
ipSNP288	1	4451015
ipSNP289	1	4451051
ipSNP291	1	4453314
ipSNP292	1	4453445
ipSNP293	1	4511814
ipSNP294	1	4511822
ipSNP295	1	4512802
ipSNP296	1	4512837
ipSNP297	1	4512838
ipSNP298	1	4512839
ipSNP299	1	4544604
ipSNP300	1	4544628
ipSNP301	1	4544630
ipSNP302	1	4544634
ipSNP303	1	4545557
ipSNP306	1	4548765
ipSNP307	1	4548766
ipSNP308	1	4548821
ipSNP309	1	4548845
ipSNP312	1	4549229
ipSNP313	1	4549698
ipSNP314	1	4600196
ipSNP316	1	4601710
ipSNP317	1	4601740
ipSNP318	1	4601776
ipSNP319	1	4609633
ipSNP320	1	4616910
ipSNP321	1	4715811
ipSNP323	1	4748719
ipSNP324	1	4748996
ipSNP325	1	4749033
ipSNP326	1	4749034
ipSNP328	1	4749383
ipSNP329	1	4749464
ipSNP330	1	4752615
ipSNP333	1	4754438
ipSNP334	1	4754464
ipSNP339	1	4764981
ipSNP340	1	4766227
ipSNP341	1	4766304
ipSNP342	1	4766734
ipSNP343	1	4767789
ipSNP344	1	4772203
ipSNP345	1	4979298
ipSNP347	1	4988822
ipSNP348	1	4988834
ipSNP349	1	4990701
ipSNP350	1	4990719
ipSNP351	1	4990727
ipSNP352	1	4990749
ipSNP353	1	4990764
ipSNP354	1	4990776
ipSNP355	1	4995670
ipSNP356	1	4995693
ipSNP358	1	4996244
ipSNP359	1	4996248
ipSNP360	1	4996249
ipSNP361	1	5002046
ipSNP362	1	5002047
ipSNP363	1	5002073
ipSNP364	1	5006696
ipSNP365	1	5010040
ipSNP366	1	5012438
ipSNP367	1	5012442
ipSNP368	1	5045866
ipSNP369	1	5045867
ipSNP370	1	5045868
ipSNP371	1	5055723
ipSNP372	1	5055774
ipSNP373	1	5055776
ipSNP374	1	5088575
ipSNP375	1	5088598
ipSNP376	1	5088613
ipSNP377	1	5088637
ipSNP378	1	5088796
ipSNP379	1	5089379
ipSNP380	1	5089381
ipSNP381	1	5089459
ipSNP382	1	5089486
ipSNP383	1	5089488
ipSNP384	1	5089571
ipSNP385	1	5089658
ipSNP387	1	5091854
ipSNP388	1	5091858
ipSNP389	1	5091864
ipSNP390	1	5245709
ipSNP391	1	5245986
ipSNP392	1	5246410
ipSNP393	1	5246412
ipSNP394	1	5246415
ipSNP396	1	5328404
ipSNP397	1	5337001
ipSNP398	1	5342113
ipSNP399	1	5342139
ipSNP400	1	5342160
ipSNP401	1	5342161
ipSNP402	1	5342164
ipSNP403	1	5342301
ipSNP405	1	5348159
ipSNP406	1	5348172
ipSNP407	1	5348174
ipSNP408	1	5348199
ipSNP409	1	5349533
ipSNP410	1	5349546
ipSNP411	1	5349626
ipSNP412	1	5388402
ipSNP413	1	5434565
ipSNP414	1	5434575
ipSNP415	1	5434875
ipSNP416	1	5435296
ipSNP417	1	5435362
ipSNP418	1	5516961
ipSNP419	1	5516969
ipSNP420	1	5516983
ipSNP421	1	5517118
ipSNP422	1	5629244
ipSNP424	1	5639616
ipSNP425	1	5647433
ipSNP426	1	5653111
ipSNP427	1	5653112
ipSNP428	1	5653113
ipSNP429	1	5719699
ipSNP430	1	5720620
ipSNP431	1	5720621
ipSNP432	1	5744442
ipSNP433	1	5744443
ipSNP434	1	5744444
ipSNP435	1	5744901
ipSNP436	1	5744914
ipSNP437	1	5744915
ipSNP438	1	5744919
ipSNP439	1	5744921
ipSNP440	1	5744927
ipSNP441	1	5744941
ipSNP442	1	5744943
ipSNP443	1	5744944
ipSNP444	1	5745013
ipSNP445	1	5745014
ipSNP446	1	5745185
ipSNP449	1	5747315
ipSNP450	1	5747325
ipSNP451	1	5747337
ipSNP452	1	5748151
ipSNP453	1	5813147
ipSNP454	1	5813149
ipSNP455	1	5813154
ipSNP456	1	5813210
ipSNP457	1	5813530
ipSNP458	1	5877047
ipSNP460	1	5995384
ipSNP461	1	6157448
ipSNP462	1	6157449
ipSNP463	1	6157451
ipSNP464	1	6157471
ipSNP465	1	6179191
ipSNP466	1	6193275
ipSNP467	1	6193277
ipSNP468	1	6197078
ipSNP469	1	6198935
ipSNP470	1	6199044
ipSNP471	1	6199054
ipSNP472	1	6199173
ipSNP473	1	6199346
ipSNP474	1	6199531
ipSNP476	1	6199715
ipSNP477	1	6200304
ipSNP478	1	6200316
ipSNP479	1	6200681
ipSNP480	1	6200715
ipSNP481	1	6200717
ipSNP482	1	6201116
ipSNP483	1	6201190
ipSNP484	1	6201207
ipSNP485	1	6201220
ipSNP486	1	6201221
ipSNP487	1	6217305
ipSNP490	1	6234560
ipSNP491	1	6234661
ipSNP492	1	6234740
ipSNP493	1	6234790
ipSNP494	1	6236860
ipSNP495	1	6241635
ipSNP496	1	6244092
ipSNP497	1	6244117
ipSNP498	1	6410779
ipSNP499	1	6412121
ipSNP500	1	6412130
ipSNP501	1	6412133
ipSNP502	1	6412373
ipSNP503	1	6412741
ipSNP504	1	6415314
ipSNP505	1	6423197
ipSNP506	1	6425509
ipSNP507	1	6425526
ipSNP508	1	6425534
ipSNP509	1	6431158
ipSNP510	1	6431197
ipSNP511	1	6431227
ipSNP512	1	6433360
ipSNP513	1	6433450
ipSNP514	1	6536752
ipSNP521	1	6546089
ipSNP522	1	6546311
ipSNP523	1	6546351
ipSNP524	1	6546352
ipSNP525	1	6546353
ipSNP526	1	6546354
ipSNP527	1	6546357
ipSNP528	1	6546360
ipSNP529	1	6549984
ipSNP530	1	6783338
ipSNP531	1	6784475
ipSNP532	1	6784534
ipSNP533	1	6784535
ipSNP534	1	6809311
ipSNP535	1	6836785
ipSNP536	1	6836848
ipSNP537	1	6836856
ipSNP538	1	6851122
ipSNP539	1	6851256
ipSNP540	1	6851707
ipSNP541	1	6921570
ipSNP542	1	6921971
ipSNP543	1	6921987
ipSNP544	1	6921990
ipSNP545	1	6923459
ipSNP546	1	6923516
ipSNP547	1	6923719
ipSNP548	1	6923802
ipSNP549	1	6923834
ipSNP550	1	6923837
ipSNP551	1	6926500
ipSNP552	1	6926544
ipSNP554	1	7041917
ipSNP555	1	7045684
ipSNP556	1	7045689
ipSNP557	1	7045717
ipSNP558	1	7057453
ipSNP559	1	7057485
ipSNP560	1	7071217
ipSNP561	1	7072547
ipSNP562	1	7079762
ipSNP563	1	7084495
ipSNP564	1	7084527
ipSNP565	1	7084877
ipSNP566	1	7084930
ipSNP567	1	7084931
ipSNP568	1	7086138
ipSNP570	1	7086742
ipSNP571	1	7086746
ipSNP572	1	7086786
ipSNP573	1	7086794
ipSNP574	1	7086799
ipSNP575	1	7086800
ipSNP576	1	7086837
ipSNP577	1	7161470
ipSNP578	1	7161473
ipSNP579	1	7162859
ipSNP580	1	7198081
ipSNP581	1	7198138
ipSNP582	1	7198150
ipSNP583	1	7314236
ipSNP584	1	7314273
ipSNP586	1	7316115
ipSNP587	1	7342986
ipSNP588	1	7355717
ipSNP589	1	7355739
ipSNP590	1	7356398
ipSNP591	1	7356400
ipSNP592	1	7356403
ipSNP593	1	7358593
ipSNP594	1	7360762
ipSNP595	1	7361974
ipSNP596	1	7389130
ipSNP597	1	7389908
ipSNP598	1	7389915
ipSNP599	1	7389930
ipSNP600	1	7389991
ipSNP601	1	7390014
ipSNP602	1	7390282
ipSNP603	1	7390314
ipSNP604	1	7390711
ipSNP605	1	7390746
ipSNP606	1	7390758
ipSNP607	1	7390769
ipSNP608	1	7390776
ipSNP609	1	7390836
ipSNP610	1	7391404
ipSNP611	1	7391420
ipSNP612	1	7397142
ipSNP613	1	7401017
ipSNP614	1	7401045
ipSNP615	1	7401069
ipSNP616	1	7405084
ipSNP617	1	7405122
ipSNP618	1	7406658
ipSNP619	1	7489950
ipSNP620	1	7569563
ipSNP621	1	7597762
ipSNP622	1	7597780
ipSNP623	1	7601919
ipSNP624	1	7696795
ipSNP625	1	7696796
ipSNP626	1	7697121
ipSNP627	1	7697135
ipSNP628	1	7714400
ipSNP629	1	7714403
ipSNP630	1	7714409
ipSNP632	1	7714517
ipSNP633	1	7714552
ipSNP634	1	7714574
ipSNP637	1	7996864
ipSNP638	1	7998161
ipSNP639	1	7998164
ipSNP640	1	7998165
ipSNP641	1	8017527
ipSNP642	1	8017772
ipSNP643	1	8019580
ipSNP644	1	8019589
ipSNP645	1	8019592
ipSNP646	1	8019611
ipSNP647	1	8019636
ipSNP648	1	8019638
ipSNP652	1	8035087
ipSNP653	1	8101257
ipSNP654	1	8113213
ipSNP655	1	8113214
ipSNP656	1	8113217
ipSNP657	1	8113220
ipSNP658	1	8113221
ipSNP659	1	8113222
ipSNP660	1	8147781
ipSNP661	1	8147803
ipSNP663	1	8271524
ipSNP664	1	8373147
ipSNP665	1	8373154
ipSNP666	1	8450316
ipSNP667	1	8450406
ipSNP668	1	8450409
ipSNP669	1	8450434
ipSNP670	1	8451520
ipSNP672	1	8451604
ipSNP673	1	8453955
ipSNP674	1	8458311
ipSNP675	1	8458477
ipSNP676	1	8459425
ipSNP677	1	8459890
ipSNP678	1	8460346
ipSNP679	1	8460347
ipSNP680	1	8460359
ipSNP681	1	8460367
ipSNP682	1	8460376
ipSNP683	1	8460544
ipSNP684	1	8460555
ipSNP685	1	8515338
ipSNP686	1	8536801
ipSNP687	1	8538881
ipSNP688	1	8541287
ipSNP689	1	8558256
ipSNP690	1	8559379
ipSNP691	1	8560729
ipSNP692	1	8560731
ipSNP693	1	8560787
ipSNP694	1	8623881
ipSNP695	1	8624018
ipSNP696	1	8624022
ipSNP697	1	8624026
ipSNP698	1	8624027
ipSNP699	1	8624028
ipSNP700	1	8628074
ipSNP701	1	8628103
ipSNP702	1	8628119
ipSNP704	1	8628122
ipSNP707	1	8634520
ipSNP708	1	8635594
ipSNP709	1	8635635
ipSNP710	1	8637171
ipSNP711	1	8637190
ipSNP712	1	8656801
ipSNP713	1	8657494
ipSNP714	1	8657518
ipSNP715	1	8657590
ipSNP717	1	8882564
ipSNP718	1	8882584
ipSNP719	1	8884807
ipSNP720	1	8885156
ipSNP721	1	8932779
ipSNP722	1	8945297
ipSNP723	1	8945944
ipSNP724	1	8945951
ipSNP725	1	8945972
ipSNP726	1	8972413
ipSNP727	1	8972465
ipSNP728	1	8972473
ipSNP729	1	8975812
ipSNP730	1	8975828
ipSNP731	1	9048360
ipSNP734	1	9124278
ipSNP735	1	9125134
ipSNP736	1	9125160
ipSNP737	1	9168521
ipSNP738	1	9168522
ipSNP739	1	9168523
ipSNP740	1	9168524
ipSNP741	1	9168525
ipSNP742	1	9216202
ipSNP743	1	9216242
ipSNP744	1	9217135
ipSNP745	1	9305170
ipSNP746	1	9305229
ipSNP747	1	9307880
ipSNP748	1	9310705
ipSNP749	1	9311849
ipSNP750	1	9355046
ipSNP752	1	9355159
ipSNP753	1	9355252
ipSNP756	1	9396302
ipSNP757	1	9396313
ipSNP758	1	9396316
ipSNP759	1	9396417
ipSNP761	1	9396639
ipSNP762	1	9397233
ipSNP763	1	9398433
ipSNP764	1	9398706
ipSNP765	1	9432380
ipSNP766	1	9432381
ipSNP767	1	9437011
ipSNP768	1	9437106
ipSNP769	1	9437173
ipSNP770	1	9437174
ipSNP771	1	9437216
ipSNP772	1	9437331
ipSNP773	1	9499458
ipSNP774	1	9524942
ipSNP775	1	9526267
ipSNP776	1	9539672
ipSNP777	1	9539692
ipSNP778	1	9539703
ipSNP779	1	9539709
ipSNP780	1	9562191
ipSNP781	1	9562206
ipSNP782	1	9580616
ipSNP783	1	9580618
ipSNP784	1	9580627
ipSNP785	1	9580645
ipSNP786	1	9580696
ipSNP787	1	9582437
ipSNP788	1	9582452
ipSNP789	1	9664825
ipSNP790	1	9664830
ipSNP791	1	9664855
ipSNP792	1	9664871
ipSNP793	1	9664956
ipSNP794	1	9808408
ipSNP795	1	9808738
ipSNP796	1	9809534
ipSNP797	1	9809568
ipSNP798	1	9809637
ipSNP799	1	9812148
ipSNP800	1	9812149
ipSNP801	1	9912353
ipSNP802	1	9912394
ipSNP803	1	9956400
ipSNP804	1	9956412
ipSNP805	1	9956452
ipSNP806	1	9958083
ipSNP807	1	9958439
ipSNP808	1	10036867
ipSNP809	1	10036985
ipSNP810	1	10096183
ipSNP811	1	10096204
ipSNP812	1	10096289
ipSNP813	1	10222286
ipSNP816	1	10222582
ipSNP817	1	10222600
ipSNP818	1	10231098
ipSNP820	1	10361430
ipSNP821	1	10396079
ipSNP823	1	10430329
ipSNP824	1	10435513
ipSNP825	1	10436215
ipSNP826	1	10436226
ipSNP827	1	10436233
ipSNP828	1	10512615
ipSNP829	1	10512623
ipSNP830	1	10512634
ipSNP831	1	10512642
ipSNP832	1	10512660
ipSNP833	1	10533831
ipSNP834	1	10534173
ipSNP835	1	10534207
ipSNP836	1	10534217
ipSNP837	1	10534218
ipSNP840	1	10538281
ipSNP841	1	10538294
ipSNP842	1	10538311
ipSNP844	1	10582838
ipSNP845	1	10584063
ipSNP846	1	10584069
ipSNP847	1	10584075
ipSNP848	1	10584085
ipSNP849	1	10592626
ipSNP851	1	10694531
ipSNP852	1	10820660
ipSNP853	1	10821108
ipSNP854	1	10821114
ipSNP855	1	10821230
ipSNP857	1	10821406
ipSNP858	1	10821417
ipSNP859	1	10826220
ipSNP860	1	10826256
ipSNP861	1	10826688
ipSNP862	1	10826945
ipSNP863	1	10826970
ipSNP864	1	10827014
ipSNP865	1	10877061
ipSNP869	1	10899900
ipSNP870	1	10901853
ipSNP871	1	10902826
ipSNP872	1	10960811
ipSNP873	1	10960976
ipSNP874	1	10963206
ipSNP875	1	10967130
ipSNP878	1	10969545
ipSNP879	1	10969550
ipSNP880	1	10969551
ipSNP881	1	10970018
ipSNP882	1	10970031
ipSNP883	1	10970034
ipSNP884	1	10970058
ipSNP886	1	10978001
ipSNP887	1	10978004
ipSNP888	1	10978021
ipSNP889	1	10978348
ipSNP890	1	10978359
ipSNP891	1	10978360
ipSNP892	1	10978371
ipSNP893	1	10978377
ipSNP894	1	10978378
ipSNP895	1	10988596
ipSNP896	1	10995497
ipSNP897	1	10995509
ipSNP899	1	11170641
ipSNP900	1	11170650
ipSNP901	1	11218657
ipSNP902	1	11242832
ipSNP903	1	11300923
ipSNP904	1	11300933
ipSNP905	1	11300964
ipSNP906	1	11300991
ipSNP907	1	11301007
ipSNP910	1	11487018
ipSNP911	1	11487039
ipSNP912	1	11487044
ipSNP914	1	11487952
ipSNP918	1	11531904
ipSNP919	1	11532857
ipSNP920	1	11761592
ipSNP921	1	11761595
ipSNP922	1	11787691
ipSNP923	1	11790329
ipSNP924	1	11790340
ipSNP925	1	11793062
ipSNP926	1	11851246
ipSNP927	1	11911006
ipSNP928	1	11945230
ipSNP929	1	11945233
ipSNP930	1	11946976
ipSNP931	1	11985160
ipSNP932	1	11985267
ipSNP933	1	11987897
ipSNP934	1	11987900
ipSNP935	1	11987915
ipSNP936	1	11987920
ipSNP937	1	11992906
ipSNP938	1	11992937
ipSNP939	1	11993076
ipSNP940	1	11993107
ipSNP941	1	11993149
ipSNP942	1	12098994
ipSNP943	1	12105678
ipSNP944	1	12150755
ipSNP945	1	12150761
ipSNP946	1	12150773
ipSNP947	1	12150817
ipSNP950	1	12152579
ipSNP951	1	12164051
ipSNP952	1	12164052
ipSNP953	1	12164056
ipSNP954	1	12164068
ipSNP955	1	12164086
ipSNP957	1	12166014
ipSNP958	1	12166037
ipSNP959	1	12166788
ipSNP960	1	12169653
ipSNP961	1	12169688
ipSNP962	1	12169708
ipSNP964	1	12170631
ipSNP965	1	12170650
ipSNP966	1	12170655
ipSNP967	1	12170657
ipSNP968	1	12171556
ipSNP969	1	12171929
ipSNP970	1	12176349
ipSNP971	1	12176352
ipSNP973	1	12177425
ipSNP974	1	12177454
ipSNP975	1	12181167
ipSNP976	1	12181168
ipSNP977	1	12181182
ipSNP978	1	12181197
ipSNP979	1	12209889
ipSNP980	1	12209953
ipSNP981	1	12209994
ipSNP982	1	12211626
ipSNP983	1	12241041
ipSNP984	1	12241067
ipSNP985	1	12241096
ipSNP986	1	12241100
ipSNP987	1	12248928
ipSNP988	1	12249944
ipSNP989	1	12249945
ipSNP990	1	12249964
ipSNP991	1	12250145
ipSNP992	1	12254538
ipSNP993	1	12254572
ipSNP994	1	12256115
ipSNP995	1	12256156
ipSNP996	1	12256391
ipSNP997	1	12256394
ipSNP998	1	12256413
ipSNP999	1	12256442
ipSNP1000	1	12309541
ipSNP1001	1	12309645
ipSNP1005	1	12311671
ipSNP1006	1	12312300
ipSNP1007	1	12338377
ipSNP1008	1	12338382
ipSNP1009	1	12338383
ipSNP1010	1	12338386
ipSNP1011	1	12338409
ipSNP1012	1	12344374
ipSNP1013	1	12344441
ipSNP1014	1	12344470
ipSNP1015	1	12344494
ipSNP1016	1	12347860
ipSNP1017	1	12347877
ipSNP1018	1	12356224
ipSNP1019	1	12356603
ipSNP1020	1	12356699
ipSNP1021	1	12441345
ipSNP1022	1	12441347
ipSNP1023	1	12463670
ipSNP1024	1	12463671
ipSNP1025	1	12481563
ipSNP1026	1	12481583
ipSNP1027	1	12498912
ipSNP1028	1	12498914
ipSNP1030	1	12499335
ipSNP1031	1	12509920
ipSNP1032	1	12516926
ipSNP1033	1	12516938
ipSNP1034	1	12516945
ipSNP1035	1	12516952
ipSNP1036	1	12516953
ipSNP1037	1	12516963
ipSNP1040	1	12520305
ipSNP1041	1	12520386
ipSNP1042	1	12520453
ipSNP1043	1	12520463
ipSNP1044	1	12520478
ipSNP1045	1	12521405
ipSNP1047	1	12595466
ipSNP1048	1	12663329
ipSNP1049	1	12663335
ipSNP1050	1	12663336
ipSNP1051	1	12663337
ipSNP1052	1	12663339
ipSNP1053	1	12727297
ipSNP1054	1	12727328
ipSNP1055	1	12727343
ipSNP1056	1	12815154
ipSNP1057	1	12816062
ipSNP1058	1	12816873
ipSNP1059	1	12816919
ipSNP1060	1	12816928
ipSNP1061	1	12822585
ipSNP1062	1	12822598
ipSNP1063	1	12823121
ipSNP1064	1	12823169
ipSNP1065	1	12823176
ipSNP1066	1	12851180
ipSNP1067	1	12852278
ipSNP1068	1	12852755
ipSNP1069	1	12852827
ipSNP1070	1	12852920
ipSNP1071	1	12852944
ipSNP1072	1	12853902
ipSNP1073	1	12875268
ipSNP1074	1	12944255
ipSNP1075	1	12944292
ipSNP1076	1	12946091
ipSNP1077	1	12946103
ipSNP1078	1	12946106
ipSNP1079	1	12973035
ipSNP1080	1	12973050
ipSNP1081	1	12973051
ipSNP1082	1	12977014
ipSNP1083	1	12977041
ipSNP1084	1	12977573
ipSNP1085	1	12986323
ipSNP1087	1	12990895
ipSNP1088	1	12990913
ipSNP1089	1	12990921
ipSNP1090	1	13539803
ipSNP1091	1	13539809
ipSNP1092	1	13539812
ipSNP1094	1	13643091
ipSNP1095	1	13647501
ipSNP1096	1	13647504
ipSNP1097	1	13680845
ipSNP1098	1	13685586
ipSNP1099	1	13685596
ipSNP1100	1	13685600
ipSNP1101	1	13689603
ipSNP1102	1	13740101
ipSNP1103	1	13991694
ipSNP1104	1	13991719
ipSNP1105	1	14033646
ipSNP1106	1	14033696
ipSNP1107	1	14033701
ipSNP1108	1	14037148
ipSNP1109	1	14037177
ipSNP1110	1	14103918
ipSNP1111	1	14104128
ipSNP1112	1	14165900
ipSNP1113	1	14165903
ipSNP1114	1	14165907
ipSNP1115	1	14165917
ipSNP1116	1	14166027
ipSNP1117	1	14166030
ipSNP1118	1	14166111
ipSNP1119	1	14169005
ipSNP1120	1	14385598
ipSNP1121	1	14510716
ipSNP1122	1	14510717
ipSNP1123	1	14548825
ipSNP1124	1	14624588
ipSNP1125	1	14803614
ipSNP1126	1	14803644
ipSNP1127	1	14803650
ipSNP1128	1	14803683
ipSNP1129	1	14803709
ipSNP1130	1	14803947
ipSNP1131	1	14803963
ipSNP1132	1	14804276
ipSNP1133	1	14804321
ipSNP1135	1	14810830
ipSNP1136	1	14852237
ipSNP1137	1	14853041
ipSNP1138	1	14853047
ipSNP1139	1	14853340
ipSNP1140	1	14853479
ipSNP1141	1	14942882
ipSNP1142	1	15007482
ipSNP1143	1	15008051
ipSNP1144	1	15008068
ipSNP1145	1	15008070
ipSNP1146	1	15067722
ipSNP1147	1	15068740
ipSNP1148	1	15068745
ipSNP1151	1	15069308
ipSNP1152	1	15072134
ipSNP1153	1	15072236
ipSNP1154	1	15072258
ipSNP1155	1	15075522
ipSNP1156	1	15091277
ipSNP1157	1	15103933
ipSNP1158	1	15134219
ipSNP1159	1	15143038
ipSNP1160	1	15143071
ipSNP1161	1	15176108
ipSNP1162	1	15176109
ipSNP1163	1	15353577
ipSNP1164	1	15353907
ipSNP1165	1	15492078
ipSNP1166	1	15499346
ipSNP1167	1	15737466
ipSNP1168	1	15737517
ipSNP1169	1	15771361
ipSNP1170	1	15774769
ipSNP1172	1	15779598
ipSNP1173	1	15779610
ipSNP1174	1	15779616
ipSNP1175	1	15779618
ipSNP1178	1	15809370
ipSNP1179	1	15809371
ipSNP1180	1	15908246
ipSNP1183	1	15995448
ipSNP1184	1	15995473
ipSNP1185	1	15995491
ipSNP1186	1	15997295
ipSNP1187	1	15998819
